L1,L2,IT,EN
TITLE,,Tipo di Firma,Signature Type
SIGNED,,Firmato,Signed
NOT_SIGNED,,Non Firmato,Not Signed
AUTHOR_PROOF,,Prova d'autore,Author Proof
